URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/inddus/inddus-pink-striped-embroidered-sequinned-organza-saree/23452774/buy,Rs. 1913,4.1,Inddus,Embroidered Organza Saree,Rs. 5799,246
sarees/ode+by+house+of+pataudi/ode-by-house-of-pataudi-chinnon-schiffon-printed-saree-/26564778/buy,Rs. 917,4.1,Ode by House of Pataudi,Women Sarees,Rs. 2622,244
sarees/mitera/mitera-embellished-sequinned-organza-saree/22389726/buy,Rs. 1709,4,Mitera,Embellished Organza Saree,Rs. 8999,303
sarees/kvsfab/kvsfab-floral-embroidered-ready-to-wear-saree/24397562/buy,Rs. 2323,3.5,Kvsfab,Floral Ready to Wear Saree,Rs. 8299,106
sarees/mitera/mitera-woven-design-zari-saree/24761694/buy,Rs. 774,3.9,Mitera,Woven Design Zari Saree,Rs. 4842,1.4k
sarees/mitera/mitera-green--red-ethnic-motifs-sequinned-banarasi-saree/27326544/buy,Rs. 1330,3.9,Mitera,Banarasi Ethnic Motifs Saree,Rs. 6335,7
sarees/anouk/anouk-embellished-beads-and-stones-satin-saree/28392872/buy,Rs. 1979,4,Anouk,Embellished Satin Saree,Rs. 8999,125
sarees/mitera/mitera-red-embellished-beads--stones-satin-saree/26199116/buy,Rs. 1790,4.2,Mitera,Embellished Satin Saree,Rs. 14922,147
sarees/mitera/mitera-sequinned-pure-chiffon-ready-to-wear-saree/28615814/buy,Rs. 1699,3.4,Mitera,Ready to Wear Saree,Rs. 8943,27
sarees/kalki+fashion/kalki-fashion-embellished-mirror-work-saree/27650270/buy,,,KALKI Fashion,Embellished Mirror Work Saree,,
sarees/mabish+by+sonal+jain/mabish-by-sonal-jain-green-belted-ready-to-wear-frilled-saree/19691578/buy,Rs. 1805,4,MABISH by Sonal Jain,Ready to Wear Saree,Rs. 4299,674
sarees/kalini/kalini-floral-printed-pure-cotton-saree/25764146/buy,Rs. 799,3.5,KALINI,Printed Pure Cotton Saree,Rs. 4999,376
sarees/suta/suta-brown-colourblocked-cotton-blend-saree/15243888/buy,,4.6,Suta,Colourblocked Saree,,3.1k
sarees/kalini/kalini-floral-zari-silk-blend-saree/29558912/buy,Rs. 731,4.3,KALINI,Floral Silk Blend Saree,Rs. 4304,25
sarees/masaba/masaba-yellow--pink-floral-saree/20808846/buy,,,Masaba,Floral Saree,,
sarees/sidhidata/sidhidata-floral-pure-georgette-ready-to-wear-saree/27989164/buy,Rs. 1199,3.4,Sidhidata,Floral Pure Georgette Saree,Rs. 2999,7
sarees/mitera/mitera-leheriya-ready-to-wear-saree/27626286/buy,Rs. 899,3.4,Mitera,Leheriya Ready to Wear Saree,Rs. 8999,157
sarees/all+about+you/all-about-you-striped-pure-georgette-saree/25968526/buy,Rs. 1561,4.3,all about you,Striped Pure Georgette Saree,Rs. 7099,98
sarees/tankori/tankori-floral-zari-tissue-kanjeevaram-saree/29188680/buy,Rs. 1474,4.1,Tankori,Kanjeevaram Tissue Saree,Rs. 2499,88
sarees/mitera/mitera-purple--white-tie-and-dye-art-silk-saree/23491090/buy,Rs. 799,4,Mitera,Tie and Dye Art Silk Saree,Rs. 3299,875
sarees/kalini/kalini-floral-pure-cotton-kota-saree/29683322/buy,Rs. 1055,4.4,KALINI,Floral Kota Pure Cotton Saree,Rs. 4796,12
sarees/anouk/anouk-pink--gold-toned-floral-beads--stones-organza-saree/24998834/buy,Rs. 1924,3.2,Anouk,Embroidered Organza Saree,Rs. 7699,203
sarees/mitera/mitera-red--silver-coloured-ethnic-motifs-zari-woven-design-silk-blend-banarasi-saree/15012238/buy,Rs. 1149,4.2,Mitera,Ethnic Motifs Banarasi Silk Blend Saree,Rs. 5199,7.9k
sarees/mabish+by+sonal+jain/mabish-by-sonal-jain-poly-georgette-ready-to-wear/25679112/buy,Rs. 1923,3.6,MABISH by Sonal Jain,Poly Georgette Saree,Rs. 5199,144
sarees/anouk/anouk-ethnic-motifs-silk-blend-saree/20796234/buy,Rs. 695,3.9,Anouk,Ethnic Motifs Silk Blend Saree,Rs. 2899,1.1k
sarees/tikhi+imli/tikhi-imli-ethnic-motifs-printed-ready-to-wear-saree/22780994/buy,Rs. 1471,4,Tikhi Imli,Ready To Wear Saree,Rs. 3198,1.1k
sarees/kalini/kalini-zari-banarasi-saree/27748898/buy,Rs. 989,,KALINI,Banarasi Zari Saree,Rs. 2999,
sarees/vairagee/vairagee-off-white-floral-embroidered-net-saree/19229292/buy,Rs. 1450,4.2,VAIRAGEE,Floral Net Saree,Rs. 14500,259
sarees/anouk/anouk-teal--white-floral-printed-block-print-saree/25693790/buy,Rs. 799,4.1,Anouk,Printed Block Print Saree,Rs. 3999,532
sarees/suta/suta-blue--gold-toned-zari-saree/23127242/buy,,4.4,Suta,Zari Cotton Blend Saree,,36
sarees/kasee/kasee-beads-and-stones-satin-sarees/27290072/buy,Rs. 1979,4.1,kasee,Beads and Stones Satin Sarees,Rs. 5997,76
sarees/silk+land/silk-land-beige--maroon-floral-woven-design-zari-jute-silk-tussar-saree/17781876/buy,Rs. 648,4.3,Silk Land,Floral Tussar Jute Silk Saree,Rs. 5899,768
sarees/kasee/kasee-embroidered-art-silk-saree/22142724/buy,Rs. 1360,4.3,kasee,Art Silk Saree,Rs. 5442,485
sarees/anouk/anouk-woven-design-zari-kanjeevaram-saree/21478994/buy,Rs. 1589,4.2,Anouk,Woven Design Kanjeevaram Saree,Rs. 6099,948
sarees/mitera/mitera-teal--gold-toned-woven-design-zari-silk-blend-kanjeevaram-saree/17957634/buy,Rs. 1569,4.2,Mitera,Woven Design Kanjeevaram Silk Blend Saree,Rs. 5399,7.1k
sarees/kalini/kalini-ethnic-motifs-woven-design-kanjeevaram-zari-saree/26645828/buy,Rs. 989,3.1,KALINI,Motifs Woven Design Zari Saree,Rs. 2999,27
sarees/mitera/mitera-blue--gold-toned-floral-zari-pure-chiffon-saree/19442276/buy,Rs. 679,4,Mitera,Floral Pure Chiffon Saree,Rs. 3999,7k
sarees/tankori/tankori-woven-design-zari-tissue-kanjeevaram-saree/29188688/buy,Rs. 1474,4.1,Tankori,Kanjeevaram Tissue Saree,Rs. 2499,90
sarees/anouk/anouk-black--gold-toned-sequin-embellished-georgette-saree/24970494/buy,Rs. 1699,2.9,Anouk,Embellished Georgette Saree,Rs. 6599,358
sarees/kalini/kalini-embellished-beads-and-stones-muga-saree/28149046/buy,Rs. 598,3.4,KALINI,Embellished Muga Saree,Rs. 3150,100
sarees/inddus/inddus-mustard-yellow--gold-toned-net-embroidered-saree/12631330/buy,Rs. 1797,4.1,Inddus,Embroidered Saree,Rs. 6199,2.4k
sarees/anouk/anouk-sea-green-floral-satin-saree/16846766/buy,Rs. 874,4,Anouk,Floral Satin Saree,Rs. 3499,1.3k
sarees/mitera/mitera-red--gold-toned-woven-design-bandhani-saree/15195736/buy,Rs. 1589,3.9,Mitera,Woven Design Bandhani Saree,Rs. 5299,5.2k
sarees/celeb+styles/celeb-styles-ethnic-motifs-pure-linen-saree/29855775/buy,Rs. 999,3.3,Celeb Styles,Ethnic Motifs Pure Linen Saree,Rs. 1999,6
sarees/anouk/anouk-pure-georgette-saree/28640332/buy,Rs. 1539,3.6,Anouk,Pure Georgette Saree,Rs. 6999,193
