URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/baesd/baesd-floral-print-georgette-flared-sleeves-maxi-dress/26694314/buy,Rs. 725,3.8,BAESD,Floral Print Maxi Dress,Rs. 3499,3.2k
dresses/athena/athena-women-black-fit--flare-dress/1755949/buy,Rs. 998,4.4,Athena,Fit & Flare Dress,Rs. 2495,1.4k
dresses/antheaa/antheaa-red-floral-printed-puff-sleeves-gathered-tiered-fit--flare-midi-dress/27625296/buy,Rs. 1394,4.1,Antheaa,Floral Print Fit & Flare Dress,Rs. 3099,118
ethnic-dresses/chansi/chansi-printed-georgette-maxi-ethnic-gown-with-belt/25091562/buy,Rs. 999,4,CHANSI,Georgette Maxi Ethnic Gown,Rs. 7399,703
dresses/antheaa/antheaa-embellished-bell-sleeve-layered-chiffon-fit--flare-party-dress/26896880/buy,Rs. 1439,4.1,Antheaa,Chiffon Fit & Flare Dress,Rs. 3199,248
dresses/inweave/inweave-floral-printed-shirt-collar-gathered-a-line-dress/23930036/buy,Rs. 1483,4,InWeave,Printed Gathered A-Line Dress,Rs. 5299,1k
dresses/aayu/aayu-floral-georgette-midi-dress/21850888/buy,Rs. 623,4.1,aayu,Floral Georgette Midi Dress,Rs. 2599,6.4k
dresses/stylecast/stylecast-white-floral-printed-shoulder-strapped-ruched-sheath-midi-dress/25323548/buy,Rs. 1249,4.1,StyleCast,Floral Print Sheath Midi Dress,Rs. 3349,82
dresses/ishin/ishin-women-floral-embroidered-tiered-fit--flared-dress/17349328/buy,Rs. 1413,4,Ishin,Floral A-Line Tiered Dress,Rs. 5049,640
dresses/athena/athena-women-pretty-pink-floral-volume-play-dress/17142516/buy,Rs. 895,4.4,Athena,Floral Volume Play Dress,Rs. 2799,2.7k
dresses/athena/athena-lavender-solid-accordion-pleats-wrap-dress/18962952/buy,Rs. 1119,4.2,Athena,Accordion Pleats Wrap Dress,Rs. 2799,5k
dresses/globus/globus-opaque-stretchable-floral-lace-midi-bodycon-party-dress/23782956/buy,Rs. 1199,4.1,Globus,Lace Sheath Dress,Rs. 1999,182
dresses/tokyo+talkies/tokyo-talkies-floral-printed-dress/21235392/buy,Rs. 589,3.5,Tokyo Talkies,Floral Printed Dress,Rs. 2049,629
dresses/stylecast/stylecast-white-floral-print-square-neck-puff-sleeve-fit--flare-maxi-dress/27651736/buy,Rs. 1099,3.9,StyleCast,Floral Print Fit & Flare Dress,Rs. 2749,163
dresses/baesd/baesd-women-sequined-maxi-dress/28752876/buy,Rs. 1375,4.3,BAESD,Sequined Maxi Dress,Rs. 8599,40
dresses/aahwan/aahwan-puff-sleeves-sweetheart-neck-ruched-a-line-mini-dress/26461148/buy,Rs. 659,4,AAHWAN,Ruched A-Line Mini Dress,Rs. 1999,404
dresses/kassually/kassually-rust-v-neck-puff-sleeve-tie-up-accordion-pleated-maxi-dress/26298288/buy,Rs. 1087,4.2,KASSUALLY,Tie Up Maxi Dress,Rs. 3199,35
dresses/janasya/janasya-coral-orange-cotton-western-dress/17386884/buy,Rs. 1019,3.8,Janasya,Cotton Western Dress,Rs. 2999,649
dresses/tokyo+talkies/tokyo-talkies-yellow-floral-printed-gathered-or-pleated-a-line-mini-dress/26547854/buy,Rs. 589,4.4,Tokyo Talkies,Floral A-Line Mini Dress,Rs. 2149,123
dresses/pimu/pimu-floral-embroidered-a-line-dress/29174064/buy,Rs. 719,4,PIMU,Embroidered A-Line Dress,Rs. 1799,203
dresses/mabish+by+sonal+jain/mabish-by-sonal-jain-satin-midi-wrap-dress/21695124/buy,Rs. 1175,4.1,MABISH by Sonal Jain,Satin Midi Dress,Rs. 2799,1.6k
dresses/stylecast/stylecast-blue-halter-neck-chiffon-maxi-dress/28232838/buy,Rs. 1199,4.4,StyleCast,Chiffon Maxi Dress,Rs. 3049,32
dresses/magre/magre-women-solid-navy-blue-sheath-dress/10660238/buy,Rs. 1326,4.2,MAGRE,Women Solid Sheath Dress,Rs. 3790,1.3k
dresses/deebaco/deebaco-shoulder-straps-sleeveless-a-line-dress/29944631/buy,Rs. 1649,,DEEBACO,Sleeveless A-Line Dress,Rs. 3299,
dresses/sassafras/sassafras-red--beige-floral-printed-tiered-a-line-dress/11364458/buy,Rs. 499,4.1,SASSAFRAS,Floral Printed A-Line Dress,Rs. 1999,3k
dresses/baesd/baesd-floral-printed-georgette-casual-fit--flare-midi-dress/23322950/buy,Rs. 594,3.8,BAESD,Georgette Casual Midi Dress,Rs. 3499,1.3k
dresses/tokyo+talkies/tokyo-talkies-lavender-floral-printed-flutter-sleeves-tiered-fit--flare-dress/22930420/buy,Rs. 639,3.5,Tokyo Talkies,Printed Fit & Flare Dress,Rs. 2199,951
dresses/h%26m/hm-smocked-bodice-dress/29415074/buy,,4.6,H&M,Smocked-Bodice Dress,,89
dresses/anayna/anayna-print-square-neck-crepe-fit--flare-mini-dress/27121458/buy,Rs. 1482,4.2,anayna,Print Crepe Fit & Flare Mini Dress,Rs. 3800,69
dresses/mabish+by+sonal+jain/mabish-by-sonal-jain-ethnic-motifs-printed-slit-crepe-sheath-midi-dress/27574438/buy,Rs. 959,3.9,MABISH by Sonal Jain,Slit Crepe Sheath Midi Dress,Rs. 2399,121
dresses/stylecast/stylecast-women-tiered-empire-maxi-dress/28232836/buy,Rs. 1199,4.2,StyleCast,Women Tiered Empire Maxi Dress,Rs. 2999,16
dresses/sassafras/sassafras-long-sleeve-bodycon-midi-dress/24956644/buy,Rs. 629,4.3,SASSAFRAS,Long Sleeve Bodycon Midi Dress,Rs. 1799,984
dresses/forever+new/forever-new-floral-printed-shirt-collar-flared-midi-shirt-dress/28733512/buy,Rs. 6020,3.6,Forever New,Floral Shirt Collar Midi Dress,Rs. 8600,18
dresses/baesd/baesd-mandarin-collar-floral-print-flutter-sleeve-a-line-dress/29103674/buy,Rs. 708,2.4,BAESD,A-Line Flutter Sleeve Dress,Rs. 3540,17
dresses/deebaco/deebaco-printed-floral-maxi-dress/21596666/buy,Rs. 1923,4.1,DEEBACO,Floral Printed Maxi Dress,Rs. 3699,1.2k
dresses/aawari/aawari-multicoloured-floral-maxi-maxi-dress/20445708/buy,Rs. 1140,4.2,Aawari,Floral Maxi Dress,Rs. 2000,1.9k
dresses/baesd/baesd-girls-floral-flutter-sleeve-net-fit--flare-dress/29524964/buy,Rs. 619,3.9,BAESD,Girls Net Fit & Flare Dress,Rs. 1999,138
dresses/anayna/anayna-teal-green--white-bandhani-printed-pure-cotton-a-line-midi-dress/19351070/buy,Rs. 1207,4.3,anayna,Bandhani Cotton A-Line Dress,Rs. 3450,390
dresses/antheaa/antheaa-black--orange-smocked-chiffon-midi-dress/20461390/buy,Rs. 998,4.3,Antheaa,Chiffon Midi Dress,Rs. 2699,1.5k
dresses/deewa/deewa-pink-floral-georgette-a-line-maxi-dress/21554738/buy,Rs. 971,4.3,Deewa,Floral Georgette A-Line Maxi Dress,Rs. 2699,4.3k
dresses/varanga/varanga-solid-gathered-puff-sleeve-crepe-a-line-midi-dress/25264878/buy,Rs. 699,3.8,Varanga,Solid Crepe A-Line Midi Dress,Rs. 3599,1.2k
dresses/rudraaksha+creations/rudraaksha-creations-ethnic-motifs-printed-fit--flare-maxi-dress/29506876/buy,Rs. 599,4.3,Rudraaksha Creations,Printed Fit & Flare Maxi Dress,Rs. 1999,81
dresses/anvi+be+yourself/anvi-be-yourself-floral-printed-puff-sleeves-smocked-fit--flare-midi-dress/25361958/buy,Rs. 979,4.2,ANVI Be Yourself,Floral Printed Midi Dress,Rs. 1999,975
dresses/panit/panit-a-line-dress/29971044/buy,Rs. 1879,3.9,PANIT,A-Line Dress,Rs. 3999,16
dresses/athena/athena-printed-a-line-midi-dress/27842074/buy,Rs. 1119,3.6,Athena,Printed A-Line Midi Dress,Rs. 2799,197
dresses/stylecast/stylecast-green-ribbed-belted-shirt-dress/26369960/buy,Rs. 1399,4.1,StyleCast,Ribbed Shirt Dress,Rs. 3999,7
dresses/antheaa/antheaa-pink-puff-sleeve-layered-satin-wrap-midi-opaque-party-dress/26896914/buy,Rs. 1259,4.2,Antheaa,Wrap Midi Puff Sleeve Dress,Rs. 2799,235
