URL,Discount,Rating,Brand,Item,MRP,Reviews
shorts/american+eagle+outfitters/american-eagle-outfitters-women-washed-denim-shorts-/27944714/buy,Rs. 2079,,AMERICAN EAGLE OUTFITTERS,Women Washed Denim Shorts,Rs. 2599,
shorts/athena/athena-women-black-solid-regular-fit-shorts/12035320/buy,Rs. 558,4.2,Athena,Women Regular Fit Shorts,Rs. 1299,3k
shorts/mango/mango-women-floral-print-high-rise-shorts/23836192/buy,Rs. 1943,4.4,MANGO,Women Floral High-Rise Shorts,Rs. 2990,18
shorts/amydus/amydus-women-plus-size-high-rise-shorts/23962032/buy,Rs. 1799,4.6,Amydus,Women Plus Size Shorts,Rs. 2299,34
shorts/h%26m/hm-women-bermuda-low-denim-shorts/28418788/buy,,4,H&M,Women Bermuda Low Denim Shorts,,99
shorts/tokyo+talkies/tokyo-talkies-women-white-slim-fit-high-rise-regular-shorts/15637554/buy,Rs. 649,4.1,Tokyo Talkies,Women Slim Fit High-Rise Regular Shorts,Rs. 1399,2.5k
shorts/chkokko/chkokko-women-black-solid-running-shorts/13549216/buy,Rs. 699,4.2,CHKOKKO,Women Running Shorts,Rs. 2330,498
shorts/door74/door74-women-beige-outdoor-cargo-shorts/19479972/buy,Rs. 879,3.9,DOOR74,Women Outdoor Cargo Shorts,Rs. 2199,53
shorts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-typography-printed-training-sports-shorts/29852286/buy,Rs. 539,4.2,HRX by Hrithik Roshan,Training Sports Shorts,Rs. 1199,39
shorts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-slim-fit-lifestyle-shorts/26461666/buy,Rs. 351,3.8,HRX by Hrithik Roshan,Women Slim Fit Lifestyle Short,Rs. 799,4
shorts/tokyo+talkies/tokyo-talkies-women-rust-brown-high-rise-regular-shorts/15678680/buy,Rs. 402,4.1,Tokyo Talkies,Women NA High-Rise Regular Shorts,Rs. 1149,1k
shorts/waylene/waylene-women-skinny-fit-high-rise-training-or-gym-sports-shorts/29866382/buy,Rs. 499,,WAYLENE,Women High-Rise Sports Shorts,Rs. 1299,
shorts/pepe+jeans/pepe-jeans-women-washed-high-rise-denim-shorts/23443416/buy,Rs. 2659,4.5,Pepe Jeans,Women Washed Denim Shorts,Rs. 2799,81
shorts/stylecast/stylecast-women-black-mid-rise-cotton-regular-shorts/28041752/buy,Rs. 949,4.3,StyleCast,Women Cotton Regular Shorts,Rs. 2449,6
